Python  : 3.12.11
PyTorch : 2.8.0+cu128

Mon Mar 23 09:06:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:00:05.0 Off |                    0 |
| N/A   33C    P0             57W /  400W |       6MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

  micro batch : 64 × 2048 = 131,072 tokens
  total batch : 524,288 tokens  (grad accum = 4)
  total steps : 1500
  warmup      : 100 steps  →  hold  →  linear warmdown
  optimizer   : Muon lr=0.02 wd=0.01  |  AdamW lr=0.006 wd=0.1

GPTConfig(vocab_size=50304, num_layers=12, num_heads=12, model_dim=768, max_seq_len=2048, logit_softcap=30.0)
params      : 123,568,128  (123.6M total, 84.9M non-embedding)
model vram  : 0.54 GB
compiling   : torch.compile(dynamic=True) ...
train data  : 5,000,000,000 tokens across 50 shards

  [step    0/1500]  loss=11.0148  |      9,201 tok/s  |  step_ms=56981  |  MFU=0.0%  |  mem=76.3GB  |  gnorm=6.971
  [step   55/1500]  loss=5.9348  |    201,261 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.760
  [step   56/1500]  loss=5.9842  |    201,922 tok/s  |  step_ms=2596  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.631
  [step   57/1500]  loss=5.9096  |    200,315 tok/s  |  step_ms=2617  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.551
  [step   58/1500]  loss=5.8772  |    201,452 tok/s  |  step_ms=2603  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.531
  [step   59/1500]  loss=5.8607  |    201,729 tok/s  |  step_ms=2599  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.568
  [step   60/1500]  loss=5.8335  |    201,288 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.667
  [step   61/1500]  loss=5.8685  |    201,456 tok/s  |  step_ms=2602  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.722
  [step   62/1500]  loss=5.8245  |    201,454 tok/s  |  step_ms=2603  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.658
  [step   63/1500]  loss=5.7933  |    201,039 tok/s  |  step_ms=2608  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.663
  [step   64/1500]  loss=5.8040  |    201,225 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.681
  [step   65/1500]  loss=5.7715  |    201,434 tok/s  |  step_ms=2603  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.664
  [step   66/1500]  loss=5.7510  |    201,980 tok/s  |  step_ms=2596  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.770
  [step   67/1500]  loss=5.7418  |    201,133 tok/s  |  step_ms=2607  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.888
  [step   68/1500]  loss=5.7434  |    200,768 tok/s  |  step_ms=2611  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.856
  [step   69/1500]  loss=5.7195  |    201,846 tok/s  |  step_ms=2597  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.783
  [step   70/1500]  loss=5.6997  |    201,293 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.794
  [step   71/1500]  loss=5.7077  |    201,352 tok/s  |  step_ms=2604  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.863
  [step   72/1500]  loss=5.7027  |    201,739 tok/s  |  step_ms=2599  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.960
  [step   73/1500]  loss=5.6583  |    200,507 tok/s  |  step_ms=2615  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.798
  [step   74/1500]  loss=5.6553  |    201,178 tok/s  |  step_ms=2606  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.775
  [step   75/1500]  loss=5.6517  |    201,832 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.836
  [step   76/1500]  loss=5.6267  |    201,284 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.830
  [step   77/1500]  loss=5.6137  |    201,463 tok/s  |  step_ms=2602  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.706
  [step   78/1500]  loss=5.5884  |    201,078 tok/s  |  step_ms=2607  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.662
  [step   79/1500]  loss=5.5749  |    202,518 tok/s  |  step_ms=2589  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.671
  [step   80/1500]  loss=5.5966  |    201,452 tok/s  |  step_ms=2603  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.677
  [step   81/1500]  loss=5.5801  |    201,316 tok/s  |  step_ms=2604  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.614
  [step   82/1500]  loss=5.5639  |    201,801 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.555
  [step   83/1500]  loss=5.5187  |    200,861 tok/s  |  step_ms=2610  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.514
  [step   84/1500]  loss=5.5014  |    201,008 tok/s  |  step_ms=2608  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.590
  [step   85/1500]  loss=5.5086  |    201,741 tok/s  |  step_ms=2599  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.676
  [step   86/1500]  loss=5.4760  |    201,194 tok/s  |  step_ms=2606  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.624
  [step   87/1500]  loss=5.4782  |    202,008 tok/s  |  step_ms=2595  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.617
  [step   88/1500]  loss=5.4839  |    201,289 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.629
  [step   89/1500]  loss=5.4457  |    201,211 tok/s  |  step_ms=2606  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.598
  [step   90/1500]  loss=5.4852  |    201,947 tok/s  |  step_ms=2596  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.620
  [step   91/1500]  loss=5.4744  |    201,495 tok/s  |  step_ms=2602  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.729
  [step   92/1500]  loss=5.4313  |    200,932 tok/s  |  step_ms=2609  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.805
  [step   93/1500]  loss=5.4744  |    202,029 tok/s  |  step_ms=2595  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.882
  [step   94/1500]  loss=5.4504  |    201,277 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.764
  [step   95/1500]  loss=5.3929  |    201,591 tok/s  |  step_ms=2601  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.706
  [step   96/1500]  loss=5.3828  |    202,349 tok/s  |  step_ms=2591  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.619
  [step   97/1500]  loss=5.3853  |    200,619 tok/s  |  step_ms=2613  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.581
  [step   98/1500]  loss=5.3234  |    201,810 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.580
  [step   99/1500]  loss=5.3534  |    201,874 tok/s  |  step_ms=2597  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.598
  [step  100/1500]  loss=5.3189  |    201,230 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.675
  [step  101/1500]  loss=5.2953  |    201,226 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.787
  [step  102/1500]  loss=5.3460  |    201,879 tok/s  |  step_ms=2597  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.624
  [step  103/1500]  loss=5.2617  |    200,979 tok/s  |  step_ms=2609  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.589
  [step  104/1500]  loss=5.2521  |    201,174 tok/s  |  step_ms=2606  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.563
  [step  105/1500]  loss=5.2919  |    200,860 tok/s  |  step_ms=2610  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.583
  [step  106/1500]  loss=5.2988  |    201,196 tok/s  |  step_ms=2606  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.657
  [step  107/1500]  loss=5.2873  |    201,051 tok/s  |  step_ms=2608  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.676
  [step  108/1500]  loss=5.1977  |    201,334 tok/s  |  step_ms=2604  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.563
  [step  109/1500]  loss=5.2094  |    201,274 tok/s  |  step_ms=2605  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.569
  [step  110/1500]  loss=5.2194  |    201,827 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.527
  [step  111/1500]  loss=5.1602  |    201,128 tok/s  |  step_ms=2607  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.546
  [step  112/1500]  loss=5.1730  |    200,661 tok/s  |  step_ms=2613  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.730
  [step  113/1500]  loss=5.1871  |    200,753 tok/s  |  step_ms=2612  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.616
  [step  114/1500]  loss=5.1707  |    201,101 tok/s  |  step_ms=2607  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.484
  [step  115/1500]  loss=5.1637  |    201,820 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.555
  [step  116/1500]  loss=5.1371  |    200,895 tok/s  |  step_ms=2610  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.568
  [step  117/1500]  loss=5.1423  |    201,974 tok/s  |  step_ms=2596  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.526
  [step  118/1500]  loss=5.1868  |    201,805 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.469
  [step  119/1500]  loss=5.1377  |    200,954 tok/s  |  step_ms=2609  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.478
  [step  120/1500]  loss=5.1105  |    201,548 tok/s  |  step_ms=2601  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.571
  [step  121/1500]  loss=5.0863  |    201,928 tok/s  |  step_ms=2596  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.535
  [step  122/1500]  loss=5.0551  |    200,903 tok/s  |  step_ms=2610  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.563
  [step  123/1500]  loss=5.0748  |    201,842 tok/s  |  step_ms=2598  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.515
  [step  124/1500]  loss=5.0843  |    201,108 tok/s  |  step_ms=2607  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.489
  [step  125/1500]  loss=5.0343  |    201,618 tok/s  |  step_ms=2600  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.480
  [val   125/1500]  val_loss=5.0483  |  best=5.0483  |  avg_ms=2604
  [step  126/1500]  loss=5.0418  |    203,134 tok/s  |  step_ms=2581  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.491
  [step  127/1500]  loss=5.0259  |    202,075 tok/s  |  step_ms=2595  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.522
  [step  128/1500]  loss=5.0150  |    202,374 tok/s  |  step_ms=2591  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.555
  [step  129/1500]  loss=5.0571  |    203,213 tok/s  |  step_ms=2580  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.498
  [step  130/1500]  loss=5.0553  |    202,046 tok/s  |  step_ms=2595  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.483
  [step  131/1500]  loss=5.0081  |    202,873 tok/s  |  step_ms=2584  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.489
  [step  132/1500]  loss=5.0279  |    202,563 tok/s  |  step_ms=2588  |  MFU=37.8%  |  mem=76.3GB  |  gnorm=0.505
  [step  133/1500]  loss=4.9692  |    202,316 tok/s  |  step_ms=2591  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.472
  [step  134/1500]  loss=5.0074  |    202,066 tok/s  |  step_ms=2595  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.500
  [step  135/1500]  loss=4.9742  |    202,286 tok/s  |  step_ms=2592  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.447
  [step  136/1500]  loss=4.9815  |    202,644 tok/s  |  step_ms=2587  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.428
  [step  137/1500]  loss=4.9755  |    201,890 tok/s  |  step_ms=2597  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.440
  [step  138/1500]  loss=4.9618  |    202,091 tok/s  |  step_ms=2594  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.435
  [step  139/1500]  loss=4.9613  |    202,033 tok/s  |  step_ms=2595  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.426
  [step  140/1500]  loss=4.9565  |    202,441 tok/s  |  step_ms=2590  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.431
  [step  141/1500]  loss=4.9136  |    202,142 tok/s  |  step_ms=2594  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.447
  [step  142/1500]  loss=4.9275  |    202,051 tok/s  |  step_ms=2595  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.475
  [step  143/1500]  loss=4.9498  |    202,195 tok/s  |  step_ms=2593  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.454
  [step  144/1500]  loss=4.9469  |    202,040 tok/s  |  step_ms=2595  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.410
  [step  145/1500]  loss=4.8918  |    202,211 tok/s  |  step_ms=2593  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.432
  [step  146/1500]  loss=4.9106  |    202,353 tok/s  |  step_ms=2591  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.429
  [step  147/1500]  loss=4.8687  |    201,804 tok/s  |  step_ms=2598  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.411
  [step  148/1500]  loss=4.8395  |    201,322 tok/s  |  step_ms=2604  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.424
  [step  149/1500]  loss=4.9252  |    202,325 tok/s  |  step_ms=2591  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.408
  [step  150/1500]  loss=4.8566  |    201,639 tok/s  |  step_ms=2600  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.404
  [step  151/1500]  loss=4.8507  |    202,328 tok/s  |  step_ms=2591  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.405
  [step  152/1500]  loss=4.8645  |    201,796 tok/s  |  step_ms=2598  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.456
  [step  153/1500]  loss=4.8039  |    201,626 tok/s  |  step_ms=2600  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.441
  [step  154/1500]  loss=4.8796  |    201,539 tok/s  |  step_ms=2601  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.458
  [step  155/1500]  loss=4.8598  |    201,862 tok/s  |  step_ms=2597  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.434
  [step  156/1500]  loss=4.8270  |    201,552 tok/s  |  step_ms=2601  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.459
  [step  157/1500]  loss=4.8628  |    201,309 tok/s  |  step_ms=2604  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.471
  [step  158/1500]  loss=4.8706  |    201,696 tok/s  |  step_ms=2599  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.477
  [step  159/1500]  loss=4.8061  |    201,279 tok/s  |  step_ms=2605  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.423
  [step  160/1500]  loss=4.7819  |    190,125 tok/s  |  step_ms=2758  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.398
  [step  161/1500]  loss=4.8633  |    201,797 tok/s  |  step_ms=2598  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.437
  [step  162/1500]  loss=4.8265  |    201,848 tok/s  |  step_ms=2597  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.435
  [step  163/1500]  loss=4.7921  |    201,933 tok/s  |  step_ms=2596  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.426
  [step  164/1500]  loss=4.8413  |    201,883 tok/s  |  step_ms=2597  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.410
  [step  165/1500]  loss=4.7498  |    200,914 tok/s  |  step_ms=2610  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.394
  [step  166/1500]  loss=4.7964  |    201,501 tok/s  |  step_ms=2602  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.411
  [step  167/1500]  loss=4.7768  |    201,466 tok/s  |  step_ms=2602  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.420
  [step  168/1500]  loss=4.7790  |    200,996 tok/s  |  step_ms=2608  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.452
  [step  169/1500]  loss=4.7856  |    201,725 tok/s  |  step_ms=2599  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.446
  [step  170/1500]  loss=4.7931  |    202,118 tok/s  |  step_ms=2594  |  MFU=37.7%  |  mem=76.3GB  |  gnorm=0.447
